2,02-TP1,51.511051,0.293145,3.55,N
2,02-TP2,51.506407,0.380338,9.66,N
2,02-TP3,51.436827,0.434853,18.75,N
2,02-TP4,51.311922,0.313285,35.00,N
5,02-TP5,51.199302,0.394393,0
2,02-TP6,51.222556,0.338902,0
2,02-TP7,51.283268,0.243576,0
2,02-TP8,51.367582,0.258924,0
2,02-TP9,51.478311,0.216672,0
2,SP,51.544401,0.293981,0
2,02-TPX,51.239441,0.365924,0
2,02-HG1,51.508638,0.363737,0
2,02-HG2,51.484844,0.413017,0
2,02-HG3,51.400155,0.412490,0
2,02-HG4,51.369501,0.375233,0
2,02-HG5,51.321737,0.324331,0
2,02-HG6,51.294637,0.329421,0
2,02-HG7,51.243953,0.319621,0
2,02-HG8,51.268960,0.282656,0
2,02-HG9,51.311234,0.247098,0
2,02-HG10,51.357552,0.255797,0
2,02-HG11,51.401125,0.245519,0
2,02-HG12,51.426181,0.238256,0
2,02-HG13,51.459232,0.219940,0
2,02-HG14,51.497416,0.238419,0
2,FP,51.504220,0.247110,0
2,02-photoA,51.227602,0.344464,0
2,02-photoB,51.297992,0.248155,0
2,02-photoC,51.365461,0.258532,0
2,02-photoE,51.344330,0.352998,0
2,02-photoD,51.525226,0.294566,0
2,02-photoF,51.422233,0.426945,0
2,02-photoG,51.419452,0.241857,0
2,02-photoL,51.509884,0.318755,0
2,02-photoJ,51.485792,0.226686,0
6,SP,51.527994,0.244803,0,0
6,06-TP1,51.574141,0.357726,0,0
6,06-TP2,51.613188,0.417867,0,0
6,06-TP3,51.717590,0.659050,6,0
6,06-TP4,51.740928,0.691467,0,0
6,06-TP5,51.779996,0.592104,0,0
6,06-TP6,51.806425,0.756476,0,0
6,06-TP7,51.870174,0.857020,0,0
6,06-TP8,51.880750,0.782329,0,0
6,06-TP9,51.840839,0.702355,0,0
6,06-TP10,51.809236,0.653702,0,0
6,06-TP11,51.838986,0.595674,0,0
6,06-TP12,51.852104,0.578144,0,0
6,06-TP13,51.850323,0.525086,0,0
6,06-TP14,51.484721,0.412862,0,0
6,06-TP15,51.813564,0.456289,0,0
6,06-TP16,51.797114,0.481566,0,0
6,06-TP17,51.761196,0.521590,0,0
6,06-TP18,51.741654,0.430383,0,0
6,06-TP19,51.725452,0.409195,0,0
6,06-TP20,51.695424,0.425046,0,0
6,06-TP21,51.667064,0.384400,0,0
6,06-TP22,51.708783,0.243020,0,0
6,06-TP23,51.645242,0.083511,0,0
6,06-TP24,51.593178,0.142342,0,0
6,06-TP25,51.468098,0.190017,0,0
6,06-photoH,51.507545,0.350494,0,0
6,06-photoL,51.565720,0.387747,0,0
6,06-photoA,51.669420,0.573676,0,0
6,06-photoG,51.772544,0.660250,0,0
6,06-photoJ,51.851065,0.576735,0,0
6,06-photoB,51.839357,0.511699,0,0
6,06-photoC,51.726568,0.373132,0,0
6,06-photoD,51.675932,0.331973,0,0
6,06-photoE,51.591606,0.274513,0,0
6,06-photoF,51.509817,0.370631,0,0
3,SP,51.54423027415551,0.2939505452651403,0,0
3,01-TP1,51.50267164272631,0.3553122060356118,0,0
3,01-TP2,51.51500938733242,0.3816450563751528,0,0
3,01-TP3,51.58473794847606,0.3914561705149056,0,0
3,01-HG1,51.62518673414751,0.4815625216807096,0,0
1,01-TP1,51.502678,0.355261,0,0
1,01-TP2,51.515097,0.381612,0,0
1,01-TP3,51.584791,0.391245,0,0
1,01-TP4,51.717729,0.655257,0,0
1,01-TP5,51.841528,0.644475,0,0
1,01-TP6,51.741635,0.430404,0,0
1,01-TP7,51.718450,0.343089,0,0
1,01-TP8,51.608556,0.262545,0,0
1,SP,51.544401,0.293981,0,0
1,FP,51.572473,0.285279,0,0
1,01-HG1,51.509730,0.370681,0,0
1,01-HG2,51.551526,0.386718,0,0
1,01-HG3,51.609390,0.439085,0,0
1,01-HG4,51.625183,0.481461,0,0
1,01-HG5,51.653673,0.542452,0,0
1,01-HG6,51.702855,0.635069,0,0
1,01-HG7,51.749338,0.661341,0,0
1,01-HG8,51.785678,0.660040,0,0
1,01-HG9,51.804427,0.658871,0,0
1,01-HG10,51.848894,0.605332,0,0
1,01-HG11,51.836314,0.488050,0,0
1,01-HG12,51.813501,0.456299,0,0
1,01-HG13,51.781042,0.435771,0,0
1,01-HG14,51.684083,0.334253,0,0
1,01-HG15,51.647165,0.313429,0,0
1,01-HG16,51.613753,0.270685,0,0
1,01-photoH,51.507545,0.350494,0,0
1,01-photoL,51.565720,0.387747,0,0
1,01-photoA,51.669420,0.573676,0,0
1,01-photoG,51.772544,0.660250,0,0
1,01-photoJ,51.851065,0.576735,0,0
1,01-photoB,51.839357,0.511699,0,0
1,01-photoC,51.726568,0.373132,0,0
1,01-photoD,51.675932,0.331973,0,0
1,01-photoE,51.591606,0.274513,0,0
1,01-photoF,51.509817,0.370631,0,0
4,SP,51.552992,0.365720,0.00,0
4,TP1,51.552316,0.346484,0.00,0
