7,SP,54.658880,-1.200251,0.00
7,TP2,54.647857,-1.240076,0.00
7,TP3,54.626994,-1.296209,0.00
7,TP4,54.641287,-1.352759,0.00
7,TP5,54.680359,-1.302389,0.00
7,HG1,54.634320,-1.330224,0.00
7,TP6,54.720922,-1.329504,0.00
7,TP7,54.738429,-1.365467,0.00
7,TP8,54.763544,-1.357056,0.00
7,TP9,54.725470,-1.336285,0.00
7,TP10,54.737904,-1.417108,0.00
7,TP11,54.705142,-1.400830,0.00
7,TP12,54.683515,-1.389500,0.00
7,TP13,54.670612,-1.337658,0.00
7,TP14,54.671803,-1.265904,0.00
7,TP15,54.715853,-1.249768,0.00
7,TP16,54.776293,-1.434132,0.00
7,FP,54.776299,-1.434192,0.00

